,CUID,Species,Year,LGL counts,NuSEDS counts by CU,Total run,Region
1,301,Chinook,1950,NA,NA,NA,Columbia
2,1300,Lake Sockeye,1950,NA,NA,NA,Columbia
3,301,Chinook,1951,NA,NA,NA,Columbia
4,1300,Lake Sockeye,1951,NA,NA,NA,Columbia
5,301,Chinook,1952,NA,NA,NA,Columbia
6,1300,Lake Sockeye,1952,NA,NA,NA,Columbia
7,301,Chinook,1953,NA,NA,NA,Columbia
8,1300,Lake Sockeye,1953,NA,NA,NA,Columbia
9,301,Chinook,1954,NA,NA,NA,Columbia
10,1300,Lake Sockeye,1954,NA,NA,NA,Columbia
11,301,Chinook,1955,NA,NA,NA,Columbia
12,1300,Lake Sockeye,1955,NA,NA,NA,Columbia
13,301,Chinook,1956,NA,NA,NA,Columbia
14,1300,Lake Sockeye,1956,NA,NA,NA,Columbia
15,301,Chinook,1957,NA,NA,NA,Columbia
16,1300,Lake Sockeye,1957,NA,NA,NA,Columbia
17,301,Chinook,1958,NA,NA,NA,Columbia
18,1300,Lake Sockeye,1958,NA,NA,NA,Columbia
19,301,Chinook,1959,NA,NA,NA,Columbia
20,1300,Lake Sockeye,1959,NA,NA,NA,Columbia
21,301,Chinook,1960,NA,NA,NA,Columbia
22,1300,Lake Sockeye,1960,NA,NA,NA,Columbia
23,301,Chinook,1961,NA,NA,NA,Columbia
24,1300,Lake Sockeye,1961,3173,3173,NA,Columbia
25,301,Chinook,1962,NA,NA,NA,Columbia
26,1300,Lake Sockeye,1962,5431,5431,NA,Columbia
27,301,Chinook,1963,NA,NA,NA,Columbia
28,1300,Lake Sockeye,1963,26238,26238,NA,Columbia
29,301,Chinook,1964,NA,NA,NA,Columbia
30,1300,Lake Sockeye,1964,23252,23252,NA,Columbia
31,301,Chinook,1965,NA,NA,NA,Columbia
32,1300,Lake Sockeye,1965,17879,17879,NA,Columbia
33,301,Chinook,1966,NA,NA,NA,Columbia
34,1300,Lake Sockeye,1966,73659,73659,NA,Columbia
35,301,Chinook,1967,NA,NA,NA,Columbia
36,1300,Lake Sockeye,1967,26964,26964,NA,Columbia
37,301,Chinook,1968,NA,NA,NA,Columbia
38,1300,Lake Sockeye,1968,45523,45523,NA,Columbia
39,301,Chinook,1969,NA,NA,NA,Columbia
40,1300,Lake Sockeye,1969,10711,10711,NA,Columbia
41,301,Chinook,1970,NA,NA,NA,Columbia
42,1300,Lake Sockeye,1970,29342,29342,NA,Columbia
43,301,Chinook,1971,NA,NA,NA,Columbia
44,1300,Lake Sockeye,1971,36091,36091,NA,Columbia
45,301,Chinook,1972,NA,NA,NA,Columbia
46,1300,Lake Sockeye,1972,21564,21564,NA,Columbia
47,301,Chinook,1973,NA,NA,NA,Columbia
48,1300,Lake Sockeye,1973,12133,12133,NA,Columbia
49,301,Chinook,1974,NA,NA,NA,Columbia
50,1300,Lake Sockeye,1974,7110,7110,NA,Columbia
51,301,Chinook,1975,NA,NA,NA,Columbia
52,1300,Lake Sockeye,1975,12739,12739,NA,Columbia
53,301,Chinook,1976,NA,NA,NA,Columbia
54,1300,Lake Sockeye,1976,16429,16429,NA,Columbia
55,301,Chinook,1977,NA,NA,NA,Columbia
56,1300,Lake Sockeye,1977,13176,13176,NA,Columbia
57,301,Chinook,1978,NA,NA,NA,Columbia
58,1300,Lake Sockeye,1978,4750,4750,NA,Columbia
59,301,Chinook,1979,NA,NA,NA,Columbia
60,1300,Lake Sockeye,1979,15009,15009,NA,Columbia
61,301,Chinook,1980,NA,NA,NA,Columbia
62,1300,Lake Sockeye,1980,15807,15807,NA,Columbia
63,301,Chinook,1981,NA,NA,NA,Columbia
64,1300,Lake Sockeye,1981,16938,16938,NA,Columbia
65,301,Chinook,1982,NA,NA,NA,Columbia
66,1300,Lake Sockeye,1982,11703,11703,NA,Columbia
67,301,Chinook,1983,NA,NA,NA,Columbia
68,1300,Lake Sockeye,1983,16761,16761,NA,Columbia
69,301,Chinook,1984,NA,NA,NA,Columbia
70,1300,Lake Sockeye,1984,53721,53721,NA,Columbia
71,301,Chinook,1985,NA,NA,NA,Columbia
72,1300,Lake Sockeye,1985,31946,31946,NA,Columbia
73,301,Chinook,1986,NA,NA,NA,Columbia
74,1300,Lake Sockeye,1986,15472,15472,NA,Columbia
75,301,Chinook,1987,NA,NA,NA,Columbia
76,1300,Lake Sockeye,1987,21090,21090,NA,Columbia
77,301,Chinook,1988,NA,NA,NA,Columbia
78,1300,Lake Sockeye,1988,20653,20653,NA,Columbia
79,301,Chinook,1989,NA,NA,NA,Columbia
80,1300,Lake Sockeye,1989,17947,17947,NA,Columbia
81,301,Chinook,1990,NA,NA,NA,Columbia
82,1300,Lake Sockeye,1990,6261,6261,NA,Columbia
83,301,Chinook,1991,NA,NA,NA,Columbia
84,1300,Lake Sockeye,1991,19738,19738,NA,Columbia
85,301,Chinook,1992,NA,NA,NA,Columbia
86,1300,Lake Sockeye,1992,33184,33184,NA,Columbia
87,301,Chinook,1993,NA,NA,NA,Columbia
88,1300,Lake Sockeye,1993,17151,17151,NA,Columbia
89,301,Chinook,1994,NA,NA,NA,Columbia
90,1300,Lake Sockeye,1994,1977,1977,4683,Columbia
91,301,Chinook,1995,NA,NA,NA,Columbia
92,1300,Lake Sockeye,1995,4581,4581,6167,Columbia
93,301,Chinook,1996,NA,NA,NA,Columbia
94,1300,Lake Sockeye,1996,17035,17035,19242,Columbia
95,301,Chinook,1997,NA,5,NA,Columbia
96,1300,Lake Sockeye,1997,11996,11996,15915,Columbia
97,301,Chinook,1998,NA,4,NA,Columbia
98,1300,Lake Sockeye,1998,3708,3708,6686,Columbia
99,301,Chinook,1999,NA,NA,NA,Columbia
100,1300,Lake Sockeye,1999,5648,5648,9439,Columbia
101,301,Chinook,2000,NA,NA,NA,Columbia
102,1300,Lake Sockeye,2000,29243,29243,36310,Columbia
103,301,Chinook,2001,NA,NA,NA,Columbia
104,1300,Lake Sockeye,2001,41922,41922,54766,Columbia
105,301,Chinook,2002,NA,NA,NA,Columbia
106,1300,Lake Sockeye,2002,4898,4898,11408,Columbia
107,301,Chinook,2003,NA,NA,NA,Columbia
108,1300,Lake Sockeye,2003,17753,17753,22789,Columbia
109,301,Chinook,2004,NA,NA,NA,Columbia
110,1300,Lake Sockeye,2004,41571,41571,51425,Columbia
111,301,Chinook,2005,NA,NA,NA,Columbia
112,1300,Lake Sockeye,2005,31536,31536,38103,Columbia
113,301,Chinook,2006,34,34,NA,Columbia
114,1300,Lake Sockeye,2006,20819,20819,26529,Columbia
115,301,Chinook,2007,7,7,NA,Columbia
116,1300,Lake Sockeye,2007,13504,13504,20447,Columbia
117,301,Chinook,2008,14,14,NA,Columbia
118,1300,Lake Sockeye,2008,127602,127602,145816,Columbia
119,301,Chinook,2009,6,6,NA,Columbia
120,1300,Lake Sockeye,2009,64141,64141,101255,Columbia
121,301,Chinook,2010,5,5,NA,Columbia
122,1300,Lake Sockeye,2010,209974,209974,289961,Columbia
123,301,Chinook,2011,21,21,NA,Columbia
124,1300,Lake Sockeye,2011,77650,77650,112656,Columbia
125,301,Chinook,2012,11,11,NA,Columbia
126,1300,Lake Sockeye,2012,94071,94071,267845,Columbia
127,301,Chinook,2013,40,40,NA,Columbia
128,1300,Lake Sockeye,2013,36557,36557,70266,Columbia
129,301,Chinook,2014,50,50,NA,Columbia
130,1300,Lake Sockeye,2014,146701,146701,290860,Columbia
131,301,Chinook,2015,61,61,NA,Columbia
132,1300,Lake Sockeye,2015,10443,10443,NA,Columbia
133,301,Chinook,2016,40,40,NA,Columbia
134,1300,Lake Sockeye,2016,55190,55190,NA,Columbia
135,301,Chinook,2017,54,54,NA,Columbia
136,1300,Lake Sockeye,2017,10040,10040,NA,Columbia
137,301,Chinook,2018,10,10,NA,Columbia
138,1300,Lake Sockeye,2018,31001,31001,NA,Columbia
139,301,Chinook,2019,15,15,NA,Columbia
140,1300,Lake Sockeye,2019,13108,13108,NA,Columbia
141,301,Chinook,2020,79,79,NA,Columbia
142,1300,Lake Sockeye,2020,48138,48138,NA,Columbia
143,301,Chinook,2021,73,73,NA,Columbia
144,1300,Lake Sockeye,2021,15499,15499,NA,Columbia
145,301,Chinook,2022,23,23,NA,Columbia
146,1300,Lake Sockeye,2022,113393,113393,NA,Columbia